,Segment,Country,Product,Discount_Band,Units_Sold,Manufacturing_Price,Sale_Price,Gross_Sales,Discounts,Sales,COGS,Profit,Date,Month_Number,Month_Name,Year,manufacturing_price,sale_price,gross_sales,sales,cogs,profit,discounts,sales_price
105,channel partners,Mexico, Montana , Low ,690.0, $5.00 , $12.00 ," $8,280.00 ", $165.60 ," $8,114.40 "," $2,070.00 "," $6,044.40 ",01/11/2014,11, November ,2014,5.0,12.00 ,8280.0,8114.4,2070.0,6044.40 ,165.6,12.0
106,enterprise,Mexico, Montana , Low ,1660.0, $5.00 , $125.00 ," $207,500.00 "," $4,150.00 "," $203,350.00 "," $199,200.00 "," $4,150.00 ",01/11/2013,11, November ,2013,5.0,125.00 ,207500.0,203350.0,199200.0,4150.00 ,4150.0,125.0
107,midmarket,Canada, Paseo , Low ,2363.0, $10.00 , $15.00 ," $35,445.00 ", $708.90 ," $34,736.10 "," $23,630.00 "," $11,106.10 ",01/02/2014,2, February ,2014,10.0,15.00 ,35445.0,34736.1,23630.0,11106.10 ,708.9,15.0
108,small business,France, Paseo , Low ,918.0, $10.00 , $300.00 ," $275,400.00 "," $5,508.00 "," $269,892.00 "," $229,500.00 "," $40,392.00 ",01/05/2014,5, May ,2014,10.0,300.00 ,275400.0,269892.0,229500.0,40392.00 ,5508.0,300.0
109,small business,Germany, Paseo , Low ,1728.0, $10.00 , $300.00 ," $518,400.00 "," $10,368.00 "," $508,032.00 "," $432,000.00 "," $76,032.00 ",01/05/2014,5, May ,2014,10.0,300.00 ,518400.0,508032.0,432000.0,76032.00 ,10368.0,300.0
110,channel partners,United States of America, Paseo , Low ,1142.0, $10.00 , $12.00 ," $13,704.00 ", $274.08 ," $13,429.92 "," $3,426.00 "," $10,003.92 ",01/06/2014,6, June ,2014,10.0,12.00 ,13704.0,13429.92,3426.0,10003.92 ,274.08,12.0
111,enterprise,Mexico, Paseo , Low ,662.0, $10.00 , $125.00 ," $82,750.00 "," $1,655.00 "," $81,095.00 "," $79,440.00 "," $1,655.00 ",01/06/2014,6, June ,2014,10.0,125.00 ,82750.0,81095.0,79440.0,1655.00 ,1655.0,125.0
112,channel partners,Canada, Paseo , Low ,1295.0, $10.00 , $12.00 ," $15,540.00 ", $310.80 ," $15,229.20 "," $3,885.00 "," $11,344.20 ",01/10/2014,10, October ,2014,10.0,12.00 ,15540.0,15229.2,3885.0,11344.20 ,310.8,12.0
113,enterprise,Germany, Paseo , Low ,809.0, $10.00 , $125.00 ," $101,125.00 "," $2,022.50 "," $99,102.50 "," $97,080.00 "," $2,022.50 ",01/10/2013,10, October ,2013,10.0,125.00 ,101125.0,99102.5,97080.0,2022.50 ,2022.5,125.0
114,enterprise,Mexico, Paseo , Low ,2145.0, $10.00 , $125.00 ," $268,125.00 "," $5,362.50 "," $262,762.50 "," $257,400.00 "," $5,362.50 ",01/10/2013,10, October ,2013,10.0,125.00 ,268125.0,262762.5,257400.0,5362.50 ,5362.5,125.0
115,channel partners,France, Paseo , Low ,1785.0, $10.00 , $12.00 ," $21,420.00 ", $428.40 ," $20,991.60 "," $5,355.00 "," $15,636.60 ",01/11/2013,11, November ,2013,10.0,12.00 ,21420.0,20991.6,5355.0,15636.60 ,428.4,12.0
116,small business,Canada, Paseo , Low ,1916.0, $10.00 , $300.00 ," $574,800.00 "," $11,496.00 "," $563,304.00 "," $479,000.00 "," $84,304.00 ",01/12/2014,12, December ,2014,10.0,300.00 ,574800.0,563304.0,479000.0,84304.00 ,11496.0,300.0
117,government,Canada, Paseo , Low ,2852.0, $10.00 , $350.00 ," $998,200.00 "," $19,964.00 "," $978,236.00 "," $741,520.00 "," $236,716.00 ",01/12/2014,12, December ,2014,10.0,350.00 ,998200.0,978236.0,741520.0,236716.00 ,19964.0,350.0
118,enterprise,Canada, Paseo , Low ,2729.0, $10.00 , $125.00 ," $341,125.00 "," $6,822.50 "," $334,302.50 "," $327,480.00 "," $6,822.50 ",01/12/2014,12, December ,2014,10.0,125.00 ,341125.0,334302.5,327480.0,6822.50 ,6822.5,125.0
119,midmarket,United States of America, Paseo , Low ,1925.0, $10.00 , $15.00 ," $28,875.00 ", $577.50 ," $28,297.50 "," $19,250.00 "," $9,047.50 ",01/12/2013,12, December ,2013,10.0,15.00 ,28875.0,28297.5,19250.0,9047.50 ,577.5,15.0
120,government,United States of America, Paseo , Low ,2013.0, $10.00 , $7.00 ," $14,091.00 ", $281.82 ," $13,809.18 "," $10,065.00 "," $3,744.18 ",01/12/2013,12, December ,2013,10.0,7.00 ,14091.0,13809.18,10065.0,3744.18 ,281.82,7.0
121,channel partners,France, Paseo , Low ,1055.0, $10.00 , $12.00 ," $12,660.00 ", $253.20 ," $12,406.80 "," $3,165.00 "," $9,241.80 ",01/12/2014,12, December ,2014,10.0,12.00 ,12660.0,12406.8,3165.0,9241.80 ,253.2,12.0
122,channel partners,Mexico, Paseo , Low ,1084.0, $10.00 , $12.00 ," $13,008.00 ", $260.16 ," $12,747.84 "," $3,252.00 "," $9,495.84 ",01/12/2014,12, December ,2014,10.0,12.00 ,13008.0,12747.84,3252.0,9495.84 ,260.16,12.0
123,government,United States of America, Velo , Low ,1566.0, $120.00 , $20.00 ," $31,320.00 ", $626.40 ," $30,693.60 "," $15,660.00 "," $15,033.60 ",01/10/2014,10, October ,2014,120.0,20.00 ,31320.0,30693.6,15660.0,15033.60 ,626.4,20.0
124,government,Germany, Velo , Low ,2966.0, $120.00 , $350.00 ," $1,038,100.00 "," $20,762.00 "," $1,017,338.00 "," $771,160.00 "," $246,178.00 ",01/10/2013,10, October ,2013,120.0,350.00 ,1038100.0,1017338.0,771160.0,246178.00 ,20762.0,350.0
125,government,Germany, Velo , Low ,2877.0, $120.00 , $350.00 ," $1,006,950.00 "," $20,139.00 "," $986,811.00 "," $748,020.00 "," $238,791.00 ",01/10/2014,10, October ,2014,120.0,350.00 ,1006950.0,986811.0,748020.0,238791.00 ,20139.0,350.0
126,enterprise,Germany, Velo , Low ,809.0, $120.00 , $125.00 ," $101,125.00 "," $2,022.50 "," $99,102.50 "," $97,080.00 "," $2,022.50 ",01/10/2013,10, October ,2013,120.0,125.00 ,101125.0,99102.5,97080.0,2022.50 ,2022.5,125.0
127,enterprise,Mexico, Velo , Low ,2145.0, $120.00 , $125.00 ," $268,125.00 "," $5,362.50 "," $262,762.50 "," $257,400.00 "," $5,362.50 ",01/10/2013,10, October ,2013,120.0,125.00 ,268125.0,262762.5,257400.0,5362.50 ,5362.5,125.0
128,channel partners,France, Velo , Low ,1055.0, $120.00 , $12.00 ," $12,660.00 ", $253.20 ," $12,406.80 "," $3,165.00 "," $9,241.80 ",01/12/2014,12, December ,2014,120.0,12.00 ,12660.0,12406.8,3165.0,9241.80 ,253.2,12.0
129,government,Mexico, Velo , Low ,544.0, $120.00 , $20.00 ," $10,880.00 ", $217.60 ," $10,662.40 "," $5,440.00 "," $5,222.40 ",01/12/2013,12, December ,2013,120.0,20.00 ,10880.0,10662.4,5440.0,5222.40 ,217.6,20.0
130,channel partners,Mexico, Velo , Low ,1084.0, $120.00 , $12.00 ," $13,008.00 ", $260.16 ," $12,747.84 "," $3,252.00 "," $9,495.84 ",01/12/2014,12, December ,2014,120.0,12.00 ,13008.0,12747.84,3252.0,9495.84 ,260.16,12.0
131,enterprise,Mexico, VTT , Low ,662.0, $250.00 , $125.00 ," $82,750.00 "," $1,655.00 "," $81,095.00 "," $79,440.00 "," $1,655.00 ",01/06/2014,6, June ,2014,250.0,125.00 ,82750.0,81095.0,79440.0,1655.00 ,1655.0,125.0
132,small business,Germany, VTT , Low ,214.0, $250.00 , $300.00 ," $64,200.00 "," $1,284.00 "," $62,916.00 "," $53,500.00 "," $9,416.00 ",01/10/2013,10, October ,2013,250.0,300.00 ,64200.0,62916.0,53500.0,9416.00 ,1284.0,300.0
133,government,Germany, VTT , Low ,2877.0, $250.00 , $350.00 ," $1,006,950.00 "," $20,139.00 "," $986,811.00 "," $748,020.00 "," $238,791.00 ",01/10/2014,10, October ,2014,250.0,350.00 ,1006950.0,986811.0,748020.0,238791.00 ,20139.0,350.0
134,enterprise,Canada, VTT , Low ,2729.0, $250.00 , $125.00 ," $341,125.00 "," $6,822.50 "," $334,302.50 "," $327,480.00 "," $6,822.50 ",01/12/2014,12, December ,2014,250.0,125.00 ,341125.0,334302.5,327480.0,6822.50 ,6822.5,125.0
135,government,United States of America, VTT , Low ,266.0, $250.00 , $350.00 ," $93,100.00 "," $1,862.00 "," $91,238.00 "," $69,160.00 "," $22,078.00 ",01/12/2013,12, December ,2013,250.0,350.00 ,93100.0,91238.0,69160.0,22078.00 ,1862.0,350.0
136,government,Mexico, VTT , Low ,1940.0, $250.00 , $350.00 ," $679,000.00 "," $13,580.00 "," $665,420.00 "," $504,400.00 "," $161,020.00 ",01/12/2013,12, December ,2013,250.0,350.00 ,679000.0,665420.0,504400.0,161020.00 ,13580.0,350.0
137,small business,Germany, Amarilla , Low ,259.0, $260.00 , $300.00 ," $77,700.00 "," $1,554.00 "," $76,146.00 "," $64,750.00 "," $11,396.00 ",01/03/2014,3, March ,2014,260.0,300.00 ,77700.0,76146.0,64750.0,11396.00 ,1554.0,300.0
138,small business,Mexico, Amarilla , Low ,1101.0, $260.00 , $300.00 ," $330,300.00 "," $6,606.00 "," $323,694.00 "," $275,250.00 "," $48,444.00 ",01/03/2014,3, March ,2014,260.0,300.00 ,330300.0,323694.0,275250.0,48444.00 ,6606.0,300.0
139,enterprise,Germany, Amarilla , Low ,2276.0, $260.00 , $125.00 ," $284,500.00 "," $5,690.00 "," $278,810.00 "," $273,120.00 "," $5,690.00 ",01/05/2014,5, May ,2014,260.0,125.00 ,284500.0,278810.0,273120.0,5690.00 ,5690.0,125.0
140,government,Germany, Amarilla , Low ,2966.0, $260.00 , $350.00 ," $1,038,100.00 "," $20,762.00 "," $1,017,338.00 "," $771,160.00 "," $246,178.00 ",01/10/2013,10, October ,2013,260.0,350.00 ,1038100.0,1017338.0,771160.0,246178.00 ,20762.0,350.0
141,government,United States of America, Amarilla , Low ,1236.0, $260.00 , $20.00 ," $24,720.00 ", $494.40 ," $24,225.60 "," $12,360.00 "," $11,865.60 ",01/11/2014,11, November ,2014,260.0,20.00 ,24720.0,24225.6,12360.0,11865.60 ,494.4,20.0
142,government,France, Amarilla , Low ,941.0, $260.00 , $20.00 ," $18,820.00 ", $376.40 ," $18,443.60 "," $9,410.00 "," $9,033.60 ",01/11/2014,11, November ,2014,260.0,20.00 ,18820.0,18443.6,9410.0,9033.60 ,376.4,20.0
143,small business,Canada, Amarilla , Low ,1916.0, $260.00 , $300.00 ," $574,800.00 "," $11,496.00 "," $563,304.00 "," $479,000.00 "," $84,304.00 ",01/12/2014,12, December ,2014,260.0,300.00 ,574800.0,563304.0,479000.0,84304.00 ,11496.0,300.0
144,enterprise,France, Carretera , Low ,4243.5, $3.00 , $125.00 ," $530,437.50 "," $15,913.13 "," $514,524.38 "," $509,220.00 "," $5,304.38 ",01/04/2014,4, April ,2014,3.0,125.00 ,530437.5,514524.38,509220.0,5304.38 ,15913.13,125.0
145,government,Germany, Carretera , Low ,2580.0, $3.00 , $20.00 ," $51,600.00 "," $1,548.00 "," $50,052.00 "," $25,800.00 "," $24,252.00 ",01/04/2014,4, April ,2014,3.0,20.00 ,51600.0,50052.0,25800.0,24252.00 ,1548.0,20.0
146,small business,Germany, Carretera , Low ,689.0, $3.00 , $300.00 ," $206,700.00 "," $6,201.00 "," $200,499.00 "," $172,250.00 "," $28,249.00 ",01/06/2014,6, June ,2014,3.0,300.00 ,206700.0,200499.0,172250.0,28249.00 ,6201.0,300.0
147,channel partners,United States of America, Carretera , Low ,1947.0, $3.00 , $12.00 ," $23,364.00 ", $700.92 ," $22,663.08 "," $5,841.00 "," $16,822.08 ",01/09/2014,9, September ,2014,3.0,12.00 ,23364.0,22663.08,5841.0,16822.08 ,700.92,12.0
148,channel partners,Canada, Carretera , Low ,908.0, $3.00 , $12.00 ," $10,896.00 ", $326.88 ," $10,569.12 "," $2,724.00 "," $7,845.12 ",01/12/2013,12, December ,2013,3.0,12.00 ,10896.0,10569.12,2724.0,7845.12 ,326.88,12.0
149,government,Germany, Montana , Low ,1958.0, $5.00 , $7.00 ," $13,706.00 ", $411.18 ," $13,294.82 "," $9,790.00 "," $3,504.82 ",01/02/2014,2, February ,2014,5.0,7.00 ,13706.0,13294.82,9790.0,3504.82 ,411.18,7.0
150,channel partners,France, Montana , Low ,1901.0, $5.00 , $12.00 ," $22,812.00 ", $684.36 ," $22,127.64 "," $5,703.00 "," $16,424.64 ",01/06/2014,6, June ,2014,5.0,12.00 ,22812.0,22127.64,5703.0,16424.64 ,684.36,12.0
151,government,France, Montana , Low ,544.0, $5.00 , $7.00 ," $3,808.00 ", $114.24 ," $3,693.76 "," $2,720.00 ", $973.76 ,01/09/2014,9, September ,2014,5.0,7.00 ,3808.0,3693.76,2720.0,973.76 ,114.24,7.0
152,government,Germany, Montana , Low ,1797.0, $5.00 , $350.00 ," $628,950.00 "," $18,868.50 "," $610,081.50 "," $467,220.00 "," $142,861.50 ",01/09/2013,9, September ,2013,5.0,350.00 ,628950.0,610081.5,467220.0,142861.50 ,18868.5,350.0
153,enterprise,France, Montana , Low ,1287.0, $5.00 , $125.00 ," $160,875.00 "," $4,826.25 "," $156,048.75 "," $154,440.00 "," $1,608.75 ",01/12/2014,12, December ,2014,5.0,125.00 ,160875.0,156048.75,154440.0,1608.75 ,4826.25,125.0
154,enterprise,Germany, Montana , Low ,1706.0, $5.00 , $125.00 ," $213,250.00 "," $6,397.50 "," $206,852.50 "," $204,720.00 "," $2,132.50 ",01/12/2014,12, December ,2014,5.0,125.00 ,213250.0,206852.5,204720.0,2132.50 ,6397.5,125.0
155,small business,France, Paseo , Low ,2434.5, $10.00 , $300.00 ," $730,350.00 "," $21,910.50 "," $708,439.50 "," $608,625.00 "," $99,814.50 ",01/01/2014,1, January ,2014,10.0,300.00 ,730350.0,708439.5,608625.0,99814.50 ,21910.5,300.0
156,enterprise,Canada, Paseo , Low ,1774.0, $10.00 , $125.00 ," $221,750.00 "," $6,652.50 "," $215,097.50 "," $212,880.00 "," $2,217.50 ",01/03/2014,3, March ,2014,10.0,125.00 ,221750.0,215097.5,212880.0,2217.50 ,6652.5,125.0
157,channel partners,France, Paseo , Low ,1901.0, $10.00 , $12.00 ," $22,812.00 ", $684.36 ," $22,127.64 "," $5,703.00 "," $16,424.64 ",01/06/2014,6, June ,2014,10.0,12.00 ,22812.0,22127.64,5703.0,16424.64 ,684.36,12.0
158,small business,Germany, Paseo , Low ,689.0, $10.00 , $300.00 ," $206,700.00 "," $6,201.00 "," $200,499.00 "," $172,250.00 "," $28,249.00 ",01/06/2014,6, June ,2014,10.0,300.00 ,206700.0,200499.0,172250.0,28249.00 ,6201.0,300.0
159,enterprise,Germany, Paseo , Low ,1570.0, $10.00 , $125.00 ," $196,250.00 "," $5,887.50 "," $190,362.50 "," $188,400.00 "," $1,962.50 ",01/06/2014,6, June ,2014,10.0,125.00 ,196250.0,190362.5,188400.0,1962.50 ,5887.5,125.0
160,channel partners,United States of America, Paseo , Low ,1369.5, $10.00 , $12.00 ," $16,434.00 ", $493.02 ," $15,940.98 "," $4,108.50 "," $11,832.48 ",01/07/2014,7, July ,2014,10.0,12.00 ,16434.0,15940.98,4108.5,11832.48 ,493.02,12.0
161,enterprise,Canada, Paseo , Low ,2009.0, $10.00 , $125.00 ," $251,125.00 "," $7,533.75 "," $243,591.25 "," $241,080.00 "," $2,511.25 ",01/10/2014,10, October ,2014,10.0,125.00 ,251125.0,243591.25,241080.0,2511.25 ,7533.75,125.0
162,midmarket,Germany, Paseo , Low ,1945.0, $10.00 , $15.00 ," $29,175.00 ", $875.25 ," $28,299.75 "," $19,450.00 "," $8,849.75 ",01/10/2013,10, October ,2013,10.0,15.00 ,29175.0,28299.75,19450.0,8849.75 ,875.25,15.0
163,enterprise,France, Paseo , Low ,1287.0, $10.00 , $125.00 ," $160,875.00 "," $4,826.25 "," $156,048.75 "," $154,440.00 "," $1,608.75 ",01/12/2014,12, December ,2014,10.0,125.00 ,160875.0,156048.75,154440.0,1608.75 ,4826.25,125.0
164,enterprise,Germany, Paseo , Low ,1706.0, $10.00 , $125.00 ," $213,250.00 "," $6,397.50 "," $206,852.50 "," $204,720.00 "," $2,132.50 ",01/12/2014,12, December ,2014,10.0,125.00 ,213250.0,206852.5,204720.0,2132.50 ,6397.5,125.0
165,enterprise,Canada, Velo , Low ,2009.0, $120.00 , $125.00 ," $251,125.00 "," $7,533.75 "," $243,591.25 "," $241,080.00 "," $2,511.25 ",01/10/2014,10, October ,2014,120.0,125.00 ,251125.0,243591.25,241080.0,2511.25 ,7533.75,125.0
166,small business,United States of America, VTT , Low ,2844.0, $250.00 , $300.00 ," $853,200.00 "," $25,596.00 "," $827,604.00 "," $711,000.00 "," $116,604.00 ",01/02/2014,2, February ,2014,250.0,300.00 ,853200.0,827604.0,711000.0,116604.00 ,25596.0,300.0
167,channel partners,Mexico, VTT , Low ,1916.0, $250.00 , $12.00 ," $22,992.00 ", $689.76 ," $22,302.24 "," $5,748.00 "," $16,554.24 ",01/04/2014,4, April ,2014,250.0,12.00 ,22992.0,22302.24,5748.0,16554.24 ,689.76,12.0
168,enterprise,Germany, VTT , Low ,1570.0, $250.00 , $125.00 ," $196,250.00 "," $5,887.50 "," $190,362.50 "," $188,400.00 "," $1,962.50 ",01/06/2014,6, June ,2014,250.0,125.00 ,196250.0,190362.5,188400.0,1962.50 ,5887.5,125.0
169,small business,Canada, VTT , Low ,1874.0, $250.00 , $300.00 ," $562,200.00 "," $16,866.00 "," $545,334.00 "," $468,500.00 "," $76,834.00 ",01/08/2014,8, August ,2014,250.0,300.00 ,562200.0,545334.0,468500.0,76834.00 ,16866.0,300.0
170,government,Mexico, VTT , Low ,1642.0, $250.00 , $350.00 ," $574,700.00 "," $17,241.00 "," $557,459.00 "," $426,920.00 "," $130,539.00 ",01/08/2014,8, August ,2014,250.0,350.00 ,574700.0,557459.0,426920.0,130539.00 ,17241.0,350.0
171,midmarket,Germany, VTT , Low ,1945.0, $250.00 , $15.00 ," $29,175.00 ", $875.25 ," $28,299.75 "," $19,450.00 "," $8,849.75 ",01/10/2013,10, October ,2013,250.0,15.00 ,29175.0,28299.75,19450.0,8849.75 ,875.25,15.0
172,government,Canada, Carretera , Low ,831.0, $3.00 , $20.00 ," $16,620.00 ", $498.60 ," $16,121.40 "," $8,310.00 "," $7,811.40 ",01/05/2014,5, May ,2014,3.0,20.00 ,16620.0,16121.4,8310.0,7811.40 ,498.6,20.0
173,government,Mexico, Paseo , Low ,1760.0, $10.00 , $7.00 ," $12,320.00 ", $369.60 ," $11,950.40 "," $8,800.00 "," $3,150.40 ",01/09/2013,9, September ,2013,10.0,7.00 ,12320.0,11950.4,8800.0,3150.40 ,369.6,7.0
174,government,Canada, Velo , Low ,3850.5, $120.00 , $20.00 ," $77,010.00 "," $2,310.30 "," $74,699.70 "," $38,505.00 "," $36,194.70 ",01/04/2014,4, April ,2014,120.0,20.00 ,77010.0,74699.7,38505.0,36194.70 ,2310.3,20.0
175,channel partners,Germany, VTT , Low ,2479.0, $250.00 , $12.00 ," $29,748.00 ", $892.44 ," $28,855.56 "," $7,437.00 "," $21,418.56 ",01/01/2014,1, January ,2014,250.0,12.00 ,29748.0,28855.56,7437.0,21418.56 ,892.44,12.0
176,midmarket,Mexico, Montana , Low ,2031.0, $5.00 , $15.00 ," $30,465.00 "," $1,218.60 "," $29,246.40 "," $20,310.00 "," $8,936.40 ",01/10/2014,10, October ,2014,5.0,15.00 ,30465.0,29246.4,20310.0,8936.40 ,1218.6,15.0
177,midmarket,Mexico, Paseo , Low ,2031.0, $10.00 , $15.00 ," $30,465.00 "," $1,218.60 "," $29,246.40 "," $20,310.00 "," $8,936.40 ",01/10/2014,10, October ,2014,10.0,15.00 ,30465.0,29246.4,20310.0,8936.40 ,1218.6,15.0
178,midmarket,France, Paseo , Low ,2261.0, $10.00 , $15.00 ," $33,915.00 "," $1,356.60 "," $32,558.40 "," $22,610.00 "," $9,948.40 ",01/12/2013,12, December ,2013,10.0,15.00 ,33915.0,32558.4,22610.0,9948.40 ,1356.6,15.0
179,government,United States of America, Velo , Low ,736.0, $120.00 , $20.00 ," $14,720.00 ", $588.80 ," $14,131.20 "," $7,360.00 "," $6,771.20 ",01/09/2013,9, September ,2013,120.0,20.00 ,14720.0,14131.2,7360.0,6771.20 ,588.8,20.0
180,government,Canada, Carretera , Low ,2851.0, $3.00 , $7.00 ," $19,957.00 ", $798.28 ," $19,158.72 "," $14,255.00 "," $4,903.72 ",01/10/2013,10, October ,2013,3.0,7.00 ,19957.0,19158.72,14255.0,4903.72 ,798.28,7.0
181,small business,Germany, Carretera , Low ,2021.0, $3.00 , $300.00 ," $606,300.00 "," $24,252.00 "," $582,048.00 "," $505,250.00 "," $76,798.00 ",01/10/2014,10, October ,2014,3.0,300.00 ,606300.0,582048.0,505250.0,76798.00 ,24252.0,300.0
182,government,United States of America, Carretera , Low ,274.0, $3.00 , $350.00 ," $95,900.00 "," $3,836.00 "," $92,064.00 "," $71,240.00 "," $20,824.00 ",01/12/2014,12, December ,2014,3.0,350.00 ,95900.0,92064.0,71240.0,20824.00 ,3836.0,350.0
183,midmarket,Canada, Montana , Low ,1967.0, $5.00 , $15.00 ," $29,505.00 "," $1,180.20 "," $28,324.80 "," $19,670.00 "," $8,654.80 ",01/03/2014,3, March ,2014,5.0,15.00 ,29505.0,28324.8,19670.0,8654.80 ,1180.2,15.0
184,small business,Germany, Montana , Low ,1859.0, $5.00 , $300.00 ," $557,700.00 "," $22,308.00 "," $535,392.00 "," $464,750.00 "," $70,642.00 ",01/08/2014,8, August ,2014,5.0,300.00 ,557700.0,535392.0,464750.0,70642.00 ,22308.0,300.0
185,government,Canada, Montana , Low ,2851.0, $5.00 , $7.00 ," $19,957.00 ", $798.28 ," $19,158.72 "," $14,255.00 "," $4,903.72 ",01/10/2013,10, October ,2013,5.0,7.00 ,19957.0,19158.72,14255.0,4903.72 ,798.28,7.0
186,small business,Germany, Montana , Low ,2021.0, $5.00 , $300.00 ," $606,300.00 "," $24,252.00 "," $582,048.00 "," $505,250.00 "," $76,798.00 ",01/10/2014,10, October ,2014,5.0,300.00 ,606300.0,582048.0,505250.0,76798.00 ,24252.0,300.0
187,enterprise,Mexico, Montana , Low ,1138.0, $5.00 , $125.00 ," $142,250.00 "," $5,690.00 "," $136,560.00 "," $136,560.00 ", $-   ,01/12/2014,12, December ,2014,5.0,125.00 ,142250.0,136560.0,136560.0,   ,5690.0,125.0
188,government,Canada, Paseo , Low ,4251.0, $10.00 , $7.00 ," $29,757.00 "," $1,190.28 "," $28,566.72 "," $21,255.00 "," $7,311.72 ",01/01/2014,1, January ,2014,10.0,7.00 ,29757.0,28566.72,21255.0,7311.72 ,1190.28,7.0
189,enterprise,Germany, Paseo , Low ,795.0, $10.00 , $125.00 ," $99,375.00 "," $3,975.00 "," $95,400.00 "," $95,400.00 ", $-   ,01/03/2014,3, March ,2014,10.0,125.00 ,99375.0,95400.0,95400.0,   ,3975.0,125.0
190,small business,Germany, Paseo , Low ,1414.5, $10.00 , $300.00 ," $424,350.00 "," $16,974.00 "," $407,376.00 "," $353,625.00 "," $53,751.00 ",01/04/2014,4, April ,2014,10.0,300.00 ,424350.0,407376.0,353625.0,53751.00 ,16974.0,300.0
191,small business,United States of America, Paseo , Low ,2918.0, $10.00 , $300.00 ," $875,400.00 "," $35,016.00 "," $840,384.00 "," $729,500.00 "," $110,884.00 ",01/05/2014,5, May ,2014,10.0,300.00 ,875400.0,840384.0,729500.0,110884.00 ,35016.0,300.0
192,government,United States of America, Paseo , Low ,3450.0, $10.00 , $350.00 ," $1,207,500.00 "," $48,300.00 "," $1,159,200.00 "," $897,000.00 "," $262,200.00 ",01/07/2014,7, July ,2014,10.0,350.00 ,1207500.0,1159200.0,897000.0,262200.00 ,48300.0,350.0
193,enterprise,France, Paseo , Low ,2988.0, $10.00 , $125.00 ," $373,500.00 "," $14,940.00 "," $358,560.00 "," $358,560.00 ", $-   ,01/07/2014,7, July ,2014,10.0,125.00 ,373500.0,358560.0,358560.0,   ,14940.0,125.0
194,midmarket,Canada, Paseo , Low ,218.0, $10.00 , $15.00 ," $3,270.00 ", $130.80 ," $3,139.20 "," $2,180.00 ", $959.20 ,01/09/2014,9, September ,2014,10.0,15.00 ,3270.0,3139.2,2180.0,959.20 ,130.8,15.0
195,government,Canada, Paseo , Low ,2074.0, $10.00 , $20.00 ," $41,480.00 "," $1,659.20 "," $39,820.80 "," $20,740.00 "," $19,080.80 ",01/09/2014,9, September ,2014,10.0,20.00 ,41480.0,39820.8,20740.0,19080.80 ,1659.2,20.0
196,government,United States of America, Paseo , Low ,1056.0, $10.00 , $20.00 ," $21,120.00 ", $844.80 ," $20,275.20 "," $10,560.00 "," $9,715.20 ",01/09/2014,9, September ,2014,10.0,20.00 ,21120.0,20275.2,10560.0,9715.20 ,844.8,20.0
197,midmarket,United States of America, Paseo , Low ,671.0, $10.00 , $15.00 ," $10,065.00 ", $402.60 ," $9,662.40 "," $6,710.00 "," $2,952.40 ",01/10/2013,10, October ,2013,10.0,15.00 ,10065.0,9662.4,6710.0,2952.40 ,402.6,15.0
198,midmarket,Mexico, Paseo , Low ,1514.0, $10.00 , $15.00 ," $22,710.00 ", $908.40 ," $21,801.60 "," $15,140.00 "," $6,661.60 ",01/10/2013,10, October ,2013,10.0,15.00 ,22710.0,21801.6,15140.0,6661.60 ,908.4,15.0
199,government,United States of America, Paseo , Low ,274.0, $10.00 , $350.00 ," $95,900.00 "," $3,836.00 "," $92,064.00 "," $71,240.00 "," $20,824.00 ",01/12/2014,12, December ,2014,10.0,350.00 ,95900.0,92064.0,71240.0,20824.00 ,3836.0,350.0
200,enterprise,Mexico, Paseo , Low ,1138.0, $10.00 , $125.00 ," $142,250.00 "," $5,690.00 "," $136,560.00 "," $136,560.00 ", $-   ,01/12/2014,12, December ,2014,10.0,125.00 ,142250.0,136560.0,136560.0,   ,5690.0,125.0
201,channel partners,United States of America, Velo , Low ,1465.0, $120.00 , $12.00 ," $17,580.00 ", $703.20 ," $16,876.80 "," $4,395.00 "," $12,481.80 ",01/03/2014,3, March ,2014,120.0,12.00 ,17580.0,16876.8,4395.0,12481.80 ,703.2,12.0
202,government,Canada, Velo , Low ,2646.0, $120.00 , $20.00 ," $52,920.00 "," $2,116.80 "," $50,803.20 "," $26,460.00 "," $24,343.20 ",01/09/2013,9, September ,2013,120.0,20.00 ,52920.0,50803.2,26460.0,24343.20 ,2116.8,20.0
203,government,France, Velo , Low ,2177.0, $120.00 , $350.00 ," $761,950.00 "," $30,478.00 "," $731,472.00 "," $566,020.00 "," $165,452.00 ",01/10/2014,10, October ,2014,120.0,350.00 ,761950.0,731472.0,566020.0,165452.00 ,30478.0,350.0
204,channel partners,France, VTT , Low ,866.0, $250.00 , $12.00 ," $10,392.00 ", $415.68 ," $9,976.32 "," $2,598.00 "," $7,378.32 ",01/05/2014,5, May ,2014,250.0,12.00 ,10392.0,9976.32,2598.0,7378.32 ,415.68,12.0
205,government,United States of America, VTT , Low ,349.0, $250.00 , $350.00 ," $122,150.00 "," $4,886.00 "," $117,264.00 "," $90,740.00 "," $26,524.00 ",01/09/2013,9, September ,2013,250.0,350.00 ,122150.0,117264.0,90740.0,26524.00 ,4886.0,350.0
206,government,France, VTT , Low ,2177.0, $250.00 , $350.00 ," $761,950.00 "," $30,478.00 "," $731,472.00 "," $566,020.00 "," $165,452.00 ",01/10/2014,10, October ,2014,250.0,350.00 ,761950.0,731472.0,566020.0,165452.00 ,30478.0,350.0
